mls_id,address,city,bedrooms,washrooms,parking,type,price,lat,lng,Elementary,Intermediate,Secondary
C12703482,1208 30 Ordnance Street,Toronto,2,2,0,Condo,625000,43.6394943,-79.4095555,Niagara Street Jr PS,Ryerson CS,Parkdale CI
C12703442,301 235 St Clair Avenue W,Toronto,2,2,1,Condo,1130000,43.6832156,-79.418845,Brown Jr PS,Deer Park Jr & Sr PS,Oakwood CI
E12703426,75 Enchanted Hills Crescent,Toronto,5,4,3,Detached,899900,43.828438,-79.2760139,Banting & Best PS,Banting & Best PS,Albert Campbell CI
C12703410,319 50 O'neil Road,Toronto,1,1,1,Condo,429000,43.7623454,-79.408504,,,
C12703402,127 Sultana Avenue,Toronto,4,4,5,Detached,2999999,43.7266514,-79.4412612,Baycrest PS,Baycrest PS,John Polanyi CI
W12703378,24 Hartsdale Drive,Toronto,3,2,4,Detached,1298888,43.6859203,-79.5438588,Westway JS,Dixon Grove JMS,Richview CI
C12703354,444 Roxton Road,Toronto,8,7,1,Detached,3490000,43.6594909,-79.423479,Montrose Jr PS,King Edward Jr & Sr PS,Harbord CI
C12703330,1939 135 Lower Sherbourne Street,Toronto,2,1,0,Condo,489000,43.6454285,-79.3656063,Market Lane Jr & Sr PS,Market Lane Jr & Sr PS,Jarvis CI
C12703196,2315 1 Concord Cityplace Way,Toronto,1,1,0,Condo,599900,43.6454285,-79.3656063,,,
C12703264,2103 185 Roehampton Avenue,Toronto,2,2,1,Condo,665000,43.7089756,-79.3929623,Eglinton Jr PS,Hodgson MS,North Toronto CI
W12703252,181 Parkside Drive,Toronto,6,4,3,Detached,1595000,43.6437872,-79.4554925,Garden Avenue Jr PS,Fern Avenue Jr & Sr PS,Parkdale CI
C12703224,140 Rusholme Street,Toronto,6,3,2,Detached,1780000,43.6594909,-79.423479,Ossington-Old Orchard Jr PS,Alexander M G Ave Jr & Sr PS,Bloor CI
E12703220,2232A 125 Omni Drive E,Toronto,3,1,1,Detached,538000,43.6594909,-79.423479,St Andrews PS,St Andrews PS,D & M Thomson CI
W12703218,806 362 The East Mall,Toronto,3,2,1,Condo,599999,43.6319951,-79.5553006,West Glen JS,Bloorlea MS,Silverthorn CI
W12703216,1305 103 The Queensway,Toronto,2,2,1,Condo,709000,43.6362908,-79.4703742,Swansea Jr & Sr PS,Swansea Jr & Sr PS,Humberside CI
C12703208,810 375 King Street W,Toronto,1,1,0,Condo,480000,43.6481738,-79.3807241,Ogden Jr PS,Ryerson CS,Harbord CI
C12703160,246 Brighton Avenue,Toronto,4,2,3,Detached,1189000,43.7578448,-79.4565398,Bruce PS,Bruce PS,Riverdale CI
C12703124,15 Prattley Drive,Toronto,4,2,6,Detached,1475000,43.7824282,-79.35882,Lescon PS,Don Valley MS,Georges Vanier SS
E12703118,210 1100 Kingston Road,Toronto,3,2,1,Condo,795000,43.6814204,-79.2821078,Blantyre PS,Blantyre PS,Malvern CI
W12703100,229 Dunraven Drive,Toronto,5,4,6,Detached,1348800,43.684427,-79.4701785,Keelesdale Jr PS,Silverthorn CS,York Memorial CI
C12703074,2903 501 Yonge Street,Toronto,2,1,0,Condo,520000,43.6634346,-79.3835319,Church Street Jr PS,Jesse Ketchum Jr & Sr PS,Jarvis CI
C12703034,1711 5444 Yonge Street,Toronto,2,2,1,Condo,750000,43.6730826,-79.3882892,Churchill PS,Willowdale MS,Northview Heights SS
C12703024,2912 300 Front Street,Toronto,3,2,1,Condo,998000,43.6441606,-79.3894075,,,
C12702998,30 Glen Echo Road,Toronto,5,5,4,Detached,3149000,43.7341154,-79.4029417,Bedford Park PS,Bedford Park PS,Lawrence Park CI
C12702976,220 Homewood Avenue,Toronto,5,2,3,Detached,1489900,43.7885139,-79.4306703,Church Street Jr PS,Jesse Ketchum Jr & Sr PS,Jarvis CI
C12702960,116 Burnett Avenue,Toronto,4,3,4,Detached,1418000,43.7637049,-79.4171656,Cameron PS,Willowdale MS,Northview Heights SS
W12702882,56 Edenvale Crescent,Toronto,4,3,6,Detached,2199800,43.6774787,-79.5259517,Humber Valley Village JMS,Humber Valley Village JMS,Richview CI
C12702870,2610 23 Hollywood Avenue,Toronto,3,2,1,Condo,745000,43.7655921,-79.41086,Avondale PS,Avondale PS,Georges Vanier SS
C12702860,1501 28 Freeland Street,Toronto,2,1,0,Condo,685000,43.6444748,-79.3740714,Dundas Jr PS,Queen Alexandra MS,Jarvis CI
W12702826,1218 1830 Bloor Street,Toronto,2,2,1,Condo,649000,43.666155,-79.4877088,,,
E12702810,20 Keon Place,Toronto,5,4,5,Detached,905000,43.8057243,-79.2097221,Emily Carr PS,Emily Carr PS,West Hill CI
C12702804,102 5940 Yonge Street,Toronto,1,1,1,Condo,387900,43.7874075,-79.4181181,RJ Lang E & MS,RJ Lang E & MS,Newtonbrook SS
E12702800,1007 2350 Bridletowne Circle,Toronto,3,2,2,Condo,649000,43.7919767,-79.3130712,,,
E12702790,40 Leroy Avenue,Toronto,4,2,4,Detached,1080000,43.6890024,-79.3347163,RH McGregor ES,Cosburn MS,East York CI
E12702732,405 15 Sewells Road,Toronto,1,1,1,Condo,299900,43.8274964,-79.1995698,Grey Owl Jr PS,Dr Marion Hilliard Sr PS,Lester B Pearson CI
W12702714,15 Stevenharris Drive,Toronto,3,2,6,Detached,1099000,43.6291985,-79.5614982,Eatonville JS,Bloordale MS,Silverthorn CI
E12702654,166 Lynnbrook Drive,Toronto,6,2,3,Detached,998088,43.7723874,-79.2443045,North Bendale PS,North Bendale PS,Woburn CI
W12702538,712 25 Four Winds Drive,Toronto,2,1,1,Condo,459900,43.7658077,-79.4912212,Derrydown PS,Elia MS,CW Jefferys CI
W12702534,205 840 Queens Plate Drive,Toronto,3,2,1,Condo,649900,43.6319951,-79.5553006,Albion Heights JMS,Albion Heights JMS,West Humber CI
C12702510,1904 101 Erskine Avenue,Toronto,2,1,0,Condo,549000,43.7114706,-79.3953672,John Fisher Jr PS,Hodgson MS,North Toronto CI
C12702418,3111 30 Roehampton Avenue,Toronto,2,1,1,Condo,599000,43.7085945,-79.3975775,Eglinton Jr PS,Hodgson MS,North Toronto CI
C12702406,583 209 Fort York Boulevard,Toronto,2,1,1,Condo,625000,43.6407041,-79.3935507,The Waterfront School,The Waterfront School,Parkdale CI
C12702388,26 Fontainbleau Drive,Toronto,6,4,3,Detached,1088000,43.7934366,-79.4293559,Pleasant PS,RJ Lang E & MS,Newtonbrook SS
C12702376,3805 65 Bremner Boulevard,Toronto,3,2,1,Condo,838888,43.6404083,-79.3896785,Jean Lumb PS,Jean Lumb PS,Jarvis CI
C12702348,629 591 Sheppard Avenue E,Toronto,3,2,1,Condo,790000,43.7777739,-79.3459914,Crestview PS,Bayview MS,Georges Vanier SS
E12702342,812 Kennedy Road,Toronto,6,2,5,Detached,1050000,43.7340325,-79.2688797,Ionview PS,Ionview PS,Winston Churchill CI
C12702318,516 3 Everson Drive,Toronto,1,1,1,Condo,445000,43.7572032,-79.4068739,Avondale PS,Avondale PS,Georges Vanier SS
C12702294,329 Lippincott Street,Toronto,5,4,2,Detached,2450000,43.6643288,-79.4094471,King Edward Jr & Sr PS,King Edward Jr & Sr PS,Harbord CI
C12702284,49 Abitibi Avenue,Toronto,5,7,6,Detached,3350000,43.7969539,-79.416185,Lillian PS,Cummer Valley MS,Newtonbrook SS
E12702268,3 Shier Drive,Toronto,3,2,3,Detached,749000,43.7445876,-79.2264091,Cedarbrook PS,Cedarbrook PS,Cedarbrae CI
C12702262,203 350 Wellington Street W,Toronto,2,1,0,Condo,598000,43.6457992,-79.3857642,Ogden Jr PS,Ryerson CS,Harbord CI
C12702254,226 Broadway Avenue,Toronto,3,3,1,Detached,1595000,43.7118189,-79.3884011,John Fisher Jr PS,Hodgson MS,North Toronto CI
W12702240,3 Herzberg Gardens,Toronto,12,5,2,Detached,1248888,43.7660389,-79.4971765,Derrydown PS,Elia MS,CW Jefferys CI
E12702238,371 Strathmore Boulevard,Toronto,3,3,2,Detached,1349000,43.684501,-79.3217555,Earl Beatty Jr & Sr PS,Earl Beatty Jr & Sr PS,Monarch Park CI
W12702226,405 2464 Weston Road,Toronto,1,1,1,Condo,398800,43.7080585,-79.5347414,Pelmo Park PS,CR Marchant MS,Weston CI
C12702222,814 783 Bathurst Street,Toronto,3,1,1,Condo,899000,43.6654776,-79.4112318,King Edward Jr & Sr PS,King Edward Jr & Sr PS,Harbord CI
W12702184,303 245 Dalesford Road,Toronto,2,1,1,Condo,598000,43.6261467,-79.4907509,Norseman JMS,Norseman JMS,Etobicoke CI
C12702128,3010 35 Balmuto Street,Toronto,2,1,0,Condo,688000,43.6692449,-79.3876925,Jesse Ketchum Jr & Sr PS,Jesse Ketchum Jr & Sr PS,Jarvis CI
C12702110,911 8 York Street,Toronto,2,1,0,Condo,589000,43.6407814,-79.3806009,Baycrest PS,Baycrest PS,John Polanyi CI
C12702086,1105 501 St Clair Avenue W,Toronto,3,2,1,Condo,1049000,43.6829138,-79.4179726,Hillcrest CS,Winona Drive Sr PS,Oakwood CI
C12702072,916 5 Everson Drive,Toronto,3,2,1,Condo,638000,43.7572032,-79.4068739,Avondale PS,Avondale PS,Georges Vanier SS
C12702042,1703 3 Concord Cityplace Way,Toronto,2,2,1,Condo,739900,43.6454285,-79.3656063,,,
